what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1583019579406
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1583019579422
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1583019579422
started,bundle,com.altera.sbtgui.integration,12.0.0.263,"com.altera.sbtgui.integration",1583019579422
started,bundle,com.altera.sbtgui.project,12.0.0.263,"com.altera.sbtgui.project",1583019579422
started,bundle,com.altera.systemconsole,12.0.0.263,"com.altera.systemconsole",1583019579422
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.263,"com.altera.systemconsole.designs.plugin",1583019579422
started,bundle,com.altera.systemconsole.scripting,12.0.0.263,"com.altera.systemconsole.scripting",1583019579422
started,bundle,com.altera.utilities,12.0.0.263,"com.altera.utilities",1583019579422
os,sysinfo,,,"win32",1583019579422
arch,sysinfo,,,"x86",1583019579422
ws,sysinfo,,,"win32",1583019579422
locale,sysinfo,,,"en_CA",1583019579422
processors,sysinfo,,,"6",1583019579422
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1583019579422
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1583019579422
java.specification.name,sysinfo,,,"Java Platform API Specification",1583019579422
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1583019579422
java.specification.version,sysinfo,,,"1.6",1583019579422
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1583019579422
java.version,sysinfo,,,"1.6.0_23",1583019579422
java.vm.info,sysinfo,,,"mixed mode",1583019579422
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1583019579422
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1583019579422
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1583019579422
java.vm.specification.version,sysinfo,,,"1.0",1583019579422
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1583019579422
java.vm.version,sysinfo,,,"19.0-b09",1583019579422
started,bundle,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch",1583019579516
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1583019581156
