what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583005390684
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1583005390700
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1583005391606
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583005401608
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583005439162
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583005447711
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583005544719
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1583005544734
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1583005550238
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1583005575630
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1583005579117
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1583005580446
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1583005590263
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1583005591824
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1583005592942
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1583005596035
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583005608566
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583005668745
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1583005669199
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583005672731
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583006003995
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583006004792
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583006127059
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1583006129404
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583006130451
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583006132139
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1583006132155
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583006134421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583006160121
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1583006163792
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1583006164839
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1583006165970
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1583006169216
