what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177029710
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177031611
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177033841
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177033888
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1583177036745
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177045872
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177181348
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1583177186322
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177193995
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177196990
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1583177202145
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1583177203083
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1583177211441
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177228573
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1583177228739
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177229810
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1583177229810
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1583177230914
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1583177233300
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177241939
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177255782
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1583177262027
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177277835
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177424944
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1583177428210
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1583177434669
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1583177442785
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1583177446211
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1583177447714
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1583177451675
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1583177454706
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1583177455899
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1583177456978
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1583177462618
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1583177469205
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177472365
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177474009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177475251
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177476886
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1583177477824
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1583177484657
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1583177485678
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1583177487804
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177498500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177499942
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1583177506619
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177506827
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583177507860
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1583177507864
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1583177508977
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1583177512110
