what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1580414139156
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1580414139860
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1580414141564
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414153086
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414181007
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1580414181007
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1580414181023
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414188822
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414191181
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414192807
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414193853
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414193869
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414195400
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1580414200058
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414200354
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414201979
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414204276
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414206354
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1580414206370
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1580414206370
error,log,,,"The Nios II ELF executable does not exist. Please verify that the project experiment1b built successfully.",1580414206385
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414206682
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414208713
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580414210510
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1580414210698
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580414211432
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1580414211573
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1580414214325
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1580414214481
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414220485
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414288997
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580414303518
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580415953613
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1580415954801
