what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1583594015474
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1583594015490
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1583594015490
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1583594015490
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1583594015490
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1583594015490
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1583594015490
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1583594015490
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1583594015490
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1583594015490
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1583594015490
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1583594015490
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1583594015490
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1583594015490
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1583594015490
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1583594015490
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1583594015490
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1583594015490
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1583594015490
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1583594015490
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1583594015490
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1583594015490
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1583594015490
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1583594015490
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1583594015490
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1583594015490
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1583594015490
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1583594015490
started,bundle,com.altera.sbtgui.integration,12.0.0.263,"com.altera.sbtgui.integration",1583594015490
started,bundle,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch",1583594015490
started,bundle,com.altera.sbtgui.project,12.0.0.263,"com.altera.sbtgui.project",1583594015490
started,bundle,com.altera.systemconsole,12.0.0.263,"com.altera.systemconsole",1583594015490
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.263,"com.altera.systemconsole.designs.plugin",1583594015490
started,bundle,com.altera.systemconsole.scripting,12.0.0.263,"com.altera.systemconsole.scripting",1583594015490
started,bundle,com.altera.utilities,12.0.0.263,"com.altera.utilities",1583594015490
os,sysinfo,,,"win32",1583594015490
arch,sysinfo,,,"x86",1583594015490
ws,sysinfo,,,"win32",1583594015490
locale,sysinfo,,,"en_CA",1583594015490
processors,sysinfo,,,"6",1583594015490
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1583594015490
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1583594015490
java.specification.name,sysinfo,,,"Java Platform API Specification",1583594015490
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1583594015490
java.specification.version,sysinfo,,,"1.6",1583594015490
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1583594015490
java.version,sysinfo,,,"1.6.0_23",1583594015490
java.vm.info,sysinfo,,,"mixed mode",1583594015490
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1583594015490
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1583594015490
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1583594015490
java.vm.specification.version,sysinfo,,,"1.0",1583594015490
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1583594015490
java.vm.version,sysinfo,,,"19.0-b09",1583594015490
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1583594017755
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1583594017896
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1583594017896
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1583594017896
started,bundle,com.altera.sbtgui.core,12.0.0.263,"com.altera.sbtgui.core",1583594018317
started,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.263,"com.altera.debug.cdi.gdb.plugin",1583594018724
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583594018802
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1583594022193
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1583594022209
opened,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1583594024490
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1583594024630
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1583594024646
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1583594024646
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1583594024646
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1583594024646
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1583594026789
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1583594085615
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1583594090177
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1583594091398
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1583594095303
